x p0 p1 p2 p3 p4
36.293431 0.24633924 0.60428917 0.94621188 1.4811502 2.3174055
36.927237 0.2442619 0.60179861 0.94436147 1.481473 2.3229667
37.572113 0.24220126 0.59931621 0.94251125 1.4817903 2.3285321
38.22825 0.24015723 0.59684198 0.9406613 1.4821021 2.3341019
38.895845 0.23812967 0.59437595 0.93881169 1.4824087 2.3396762
39.575099 0.23611849 0.59191814 0.93696248 1.4827099 2.3452551
40.266215 0.23412357 0.58946856 0.93511375 1.4830061 2.3508388
40.9694 0.23214479 0.58702723 0.93326557 1.4832971 2.3564273
41.684865 0.23018205 0.58459417 0.931418 1.4835832 2.3620207
42.412824 0.22823524 0.58216939 0.9295711 1.4838645 2.3676192
43.153497 0.22630424 0.5797529 0.92772494 1.4841409 2.3732229
43.907104 0.22438894 0.57734471 0.92587958 1.4844125 2.3788319
44.673871 0.22248923 0.57494484 0.92403508 1.4846796 2.3844463
45.454029 0.220605 0.5725533 0.9221915 1.484942 2.3900662
46.247811 0.21873615 0.57017009 0.9203489 1.4852 2.3956917
47.055455 0.21688255 0.56779522 0.91850734 1.4854536 2.401323
47.877203 0.21504411 0.5654287 0.91666686 1.4857028 2.4069601
48.713302 0.21322071 0.56307053 0.91482753 1.4859478 2.4126031
49.564002 0.21141224 0.56072072 0.9129894 1.4861885 2.4182522
50.429558 0.2096186 0.55837928 0.91115251 1.4864252 2.4239074
51.31023 0.20783968 0.55604619 0.90931692 1.4866578 2.4295689
52.206281 0.20607536 0.55372148 0.90748269 1.4868864 2.4352367
53.117981 0.20432555 0.55140513 0.90564984 1.4871111 2.4409109
54.045601 0.20259014 0.54909715 0.90381845 1.487332 2.4465917
54.989421 0.20086901 0.54679754 0.90198854 1.4875491 2.4522792
55.949724 0.19916207 0.54450629 0.90016016 1.4877625 2.4579733
56.926796 0.19746921 0.54222341 0.89833337 1.4879722 2.4636743
57.920932 0.19579033 0.53994889 0.8965082 1.4881783 2.4693823
58.932428 0.19412531 0.53768273 0.89468469 1.488381 2.4750972
59.961589 0.19247406 0.53542493 0.89286289 1.4885801 2.4808192
61.008723 0.19083648 0.53317547 0.89104283 1.4887758 2.4865485
62.074142 0.18921245 0.53093436 0.88922455 1.4889682 2.492285
63.158168 0.18760188 0.52870159 0.8874081 1.4891573 2.498029
64.261125 0.18600467 0.52647715 0.8855935 1.4893432 2.5037804
65.383343 0.18442071 0.52426103 0.8837808 1.4895258 2.5095393
66.525158 0.1828499 0.52205322 0.88197003 1.4897054 2.5153059
67.686914 0.18129215 0.51985373 0.88016123 1.4898818 2.5210802
68.868958 0.17974735 0.51766253 0.87835443 1.4900553 2.5268624
70.071644 0.1782154 0.51547963 0.87654966 1.4902258 2.5326524
71.295333 0.17669621 0.513305 0.87474695 1.4903933 2.5384505
72.540393 0.17518968 0.51113863 0.87294634 1.490558 2.5442566
73.807195 0.1736957 0.50898053 0.87114786 1.4907199 2.5500708
75.096119 0.17221419 0.50683067 0.86935153 1.490879 2.5558933
76.407553 0.17074504 0.50468904 0.86755739 1.4910354 2.5617241
77.741889 0.16928816 0.50255564 0.86576547 1.4911891 2.5675633
79.099527 0.16784345 0.50043044 0.86397578 1.4913401 2.573411
80.480874 0.16641083 0.49831343 0.86218837 1.4914886 2.5792672
81.886344 0.16499018 0.49620461 0.86040325 1.4916346 2.585132
83.316358 0.16358143 0.49410395 0.85862045 1.491778 2.5910056
84.771345 0.16218448 0.49201144 0.85684 1.491919 2.5968879
86.251741 0.16079922 0.48992706 0.85506191 1.4920575 2.6027791
87.75799 0.15942559 0.48785081 0.85328623 1.4921937 2.6086792
89.290543 0.15806347 0.48578266 0.85151296 1.4923276 2.6145884
90.84986 0.15671278 0.4837226 0.84974213 1.4924591 2.6205066
92.436408 0.15537343 0.48167061 0.84797376 1.4925885 2.626434
94.050662 0.15404533 0.47962667 0.84620787 1.4927155 2.6323706
95.693106 0.1527284 0.47759078 0.84444449 1.4928405 2.6383165
97.364234 0.15142253 0.4755629 0.84268364 1.4929632 2.6442718
99.064545 0.15012765 0.47354302 0.84092532 1.4930839 2.6502365
100.79455 0.14884366 0.47153113 0.83916957 1.4932025 2.6562108
102.55476 0.14757048 0.46952721 0.83741641 1.4933191 2.6621946
