t hx hy rawx rawy govx govy vehx vehy draw dgov dveh elag clear
2.8 1.0412437 0 -0.1573149 0.058799367 1.0784987 1.3947479 1.1076318 1.3578927 1.2043673 1.399011 1.3647805 1.8132934 0.77964493
2.84 1.007515 0 -0.191396 0.051111655 0.99323132 1.3781663 1.0263656 1.3387776 1.2043673 1.3820662 1.3441715 1.7723696 0.74889428
2.88 0.97266698 0 -0.22650297 0.044625399 0.90614137 1.3598055 0.94287567 1.3181751 1.2043673 1.3653281 1.3237767 1.7290503 0.71876003
2.92 0.93673832 0 -0.26262311 0.039142861 0.8172622 1.3398177 0.8571378 1.2965858 1.2043673 1.3491115 1.3043045 1.6838185 0.6919293
2.96 0.89976893 0 -0.29973504 0.034499849 0.72663278 1.3182424 0.76910974 1.2744262 1.2043673 1.3336325 1.286405 1.6370849 0.66957889
3 0.86179989 0 -0.33781092 0.030560144 0.63430793 1.2950308 0.67875216 1.251941 1.2043673 1.3190307 1.2705796 1.5891384 0.65187892
3.04 0.82287338 0 -0.37681807 0.027210763 0.54036686 1.2700663 0.58605797 1.2291694 1.2043673 1.305388 1.2571403 1.5401359 0.63872416
3.08 0.78303266 0 -0.4167201 0.024357996 0.44492652 1.2431849 0.49107311 1.2059567 1.2043673 1.292742 1.2462101 1.4901169 0.6300198
3.12 0.74232198 0 -0.45747773 0.021924083 0.34913497 1.2145066 0.39395588 1.1820102 1.2043673 1.2810913 1.2377743 1.4390748 0.62565492
3.16 0.70078657 0 -0.49904934 0.019844471 0.25383734 1.1842246 0.29502617 1.1569764 1.2043673 1.2704144 1.231683 1.3870295 0.62470226
3.2 0.65847258 0 -0.54139143 0.018065532 0.15906764 1.1523303 0.19475833 1.1305326 1.2043673 1.2606791 1.2276911 1.3340775 0.62608378
3.24 0.61542703 0 -0.58445894 0.01654269 0.064866926 1.1187939 0.093702355 1.1024381 1.2043673 1.2518413 1.2255381 1.280381 0.62921096
3.28 0.57169773 0 -0.62820551 0.015238873 -0.028715021 1.0835685 -0.0076184957 1.0725197 1.2043673 1.2438492 1.2249661 1.2260969 0.63389216
3.32 0.52733327 0 -0.67258362 0.014123242 -0.12161907 1.0465924 -0.10875488 1.0406359 1.2043673 1.2366468 1.2257179 1.1713273 0.64011591
3.36 0.48238294 0 -0.71754479 0.01317015 -0.21377588 1.0077911 -0.20933236 1.0066482 1.2043673 1.230176 1.2275317 1.1161014 0.64787275
3.4 0.43689667 0 -0.76303969 0.012358284 -0.30510478 0.96707844 -0.3090298 0.97040789 1.2043673 1.2243786 1.2301396 1.0603811 0.6570622
3.44 0.39092501 0 -0.80901824 0.011669969 -0.39551226 0.92435739 -0.40755486 0.93175602 1.2043673 1.2191977 1.2332723 1.0040757 0.66747459
3.48 0.34451903 0 -0.85542971 0.011090593 -0.48489014 0.87952058 -0.50462645 0.89052926 1.2043673 1.2145786 1.2366654 0.94705713 0.67882113
3.52 0.29773029 0 -0.90222282 0.010608144 -0.57311319 0.83245107 -0.59996622 0.84656703 1.2043673 1.2104692 1.2400691 0.88917141 0.69078429
3.56 0.25061077 0 -0.94934577 0.010212836 -0.6599001 0.78317859 -0.69329562 0.79972274 1.2043673 1.2068193 1.2432613 0.83025176 0.70305406
3.6 0.20321281 0 -0.99674638 0.0098968024 -0.7446016 0.73223393 -0.78428354 0.74992722 1.2043673 1.2035784 1.2460486 0.77019578 0.71504944
3.64 0.15558909 0 -1.0443721 0.0096538594 -0.82656954 0.68040488 -0.87243439 0.69734018 1.2043673 1.2006994 1.2482351 0.70913404 0.72565487
3.68 0.1077925 0 -1.0921701 0.0094793191 -0.90532117 0.62856685 -0.95707876 0.64247683 1.2043673 1.1981408 1.2496147 0.64753762 0.73355751
3.72 0.059876154 0 -1.1400873 0.0093698502 -0.98059758 0.57755144 -1.0374762 0.58621792 1.2043673 1.1958667 1.2499712 0.58619014 0.73777501
3.76 0.011893286 0 -1.1880705 0.009323379 -1.0523496 0.52806948 -1.1129749 0.52970873 1.2043673 1.1938471 1.2491024 0.52605925 0.73802222
3.8 -0.036102796 0 -1.2360665 0.0093390291 -1.1207444 0.48071906 -1.183158 0.47419177 1.2043673 1.1921236 1.246858 0.46813125 0.73428253
3.84 -0.084058767 0 -1.2840218 0.0094170953 -1.1861254 0.4359877 -1.2479389 0.42084714 1.2043673 1.190821 1.2431948 0.41328219 0.72700048
3.88 -0.13192135 0 -1.3318833 0.0095590527 -1.2488127 0.39420747 -1.3075737 0.37068648 1.2043673 1.1899796 1.2382106 0.3622208 0.71809314
3.92 -0.17963736 0 -1.3795976 0.0097675995 -1.3090993 0.35555814 -1.362571 0.32449993 1.2043673 1.1895778 1.2321106 0.31548425 0.70948853
3.96 -0.2271538 0 -1.4271117 0.010046736 -1.3672728 0.3200623 -1.4135806 0.28283026 1.2043673 1.1895747 1.2251557 0.27344286 0.70221057
4 -0.27441787 0 -1.4743728 0.010401886 -1.4235732 0.28766566 -1.4612999 0.24596457 1.2043673 1.1899079 1.2176205 0.23630188 0.69639434
4.04 -0.32137705 0 -1.5213281 0.010840054 -1.4781957 0.25826498 -1.5063991 0.21395681 1.2043673 1.1905067 1.2097641 0.20411865 0.69165356
4.08 -0.36797919 0 -1.5679253 0.011370042 -1.5312974 0.23172474 -1.5494749 0.18667594 1.2043673 1.1913011 1.2018148 0.17683355 0.68749274
4.12 -0.41417249 0 -1.6141125 0.012002717 -1.5830038 0.20788998 -1.5910306 0.16386244 1.2043673 1.1922279 1.1939673 0.15429858 0.68354171
4.16 -0.45990565 0 -1.6598379 0.01275135 -1.6334135 0.18659629 -1.6314772 0.145179 1.2043673 1.1932327 1.186389 0.13628795 0.67961738
4.2 -0.50512785 0 -1.7050504 0.013632034 -1.6826024 0.16767747 -1.6711449 0.13024846 1.2043673 1.1942711 1.1792274 0.12248426 0.67569651
4.24 -0.54978884 0 -1.7496992 0.014664199 -1.7306274 0.1509713 -1.7102972 0.11867887 1.2043673 1.1953083 1.1726166 0.11245149 0.67186356
4.28 -0.59383902 0 -1.7937341 0.01587125 -1.7775294 0.13632409 -1.749142 0.11007889 1.2043673 1.1963185 1.1666798 0.10562287 0.66826227
4.32 -0.63722944 0 -1.837105 0.017281334 -1.8233357 0.12359403 -1.7878404 0.10406733 1.2043673 1.197283 1.161528 0.10132975 0.66505884
4.36 -0.67991189 0 -1.8797626 0.01892829 -1.8680622 0.11265402 -1.8265111 0.10027972 1.2043673 1.1981896 1.1572567 0.098870378 0.66241674
4.4 -0.72183895 0 -1.9216578 0.020852802 -1.9117155 0.10339379 -1.8652331 0.098374008 1.2043673 1.199031 1.1539416 0.097587191 0.66048074
4.44 -0.76296404 0 -1.9627416 0.023103798 -1.9542936 0.095721959 -1.9040481 0.098035933 1.2043673 1.199804 1.1516348 0.096920338 0.65936752
4.48 -0.80324148 0 -2.0029654 0.025740161 -1.9957876 0.089567823 -1.9429616 0.098984555 1.2043673 1.2005082 1.1503621 0.096426865 0.65916044
4.52 -0.8426265 0 -2.0422801 0.028832792 -2.0361824 0.084883361 -1.9819454 0.10097765 1.2043673 1.2011452 1.1501224 0.095774326 0.65990686
4.56 -0.88107536 0 -2.0806361 0.03246712 -2.075457 0.08164539 -2.0209404 0.10381686 1.2043673 1.2017184 1.1508882 0.094722526 0.66161732
4.6 -0.91854534 0 -2.1179826 0.036746125 -2.1135851 0.079858119 -2.0598597 0.10735251 1.2043673 1.202232 1.1526082 0.093103131 0.66426608
4.64 -0.95499481 0 -2.1542668 0.041793969 -2.1505344 0.079556224 -2.0985921 0.11148794 1.2043673 1.2026907 1.1552105 0.090801776 0.667793
4.68 -0.99038327 0 -2.1894325 0.04776034 -2.1862665 0.080808571 -2.1370049 0.11618376 1.2043673 1.2030997 1.158606 0.087743877 0.67210647
4.72 -1.0246714 0 -2.2234183 0.054825597 -2.220735 0.083722725 -2.1749477 0.12146188 1.2043673 1.203464 1.162693 0.083883846 0.67708746
4.76 -1.0578211 0 -2.2561553 0.063206813 -2.2538839 0.088450341 -2.2122538 0.12740993 1.2043673 1.2037888 1.1673605 0.079196952 0.68259434
4.8 -1.0897956 0 -2.2875631 0.073164764 -2.2856436 0.095193522 -2.2487422 0.13418603 1.2043673 1.2040787 1.1724923 0.073673205 0.68846864
4.84 -1.1205593 0 -2.3175442 0.085011837 -2.3159266 0.10421213 -2.2842176 0.14202437 1.2043673 1.2043384 1.1779702 0.067312961 0.69454192
4.88 -1.150078 0 -2.3459773 0.09912073 -2.3446197 0.11583191 -2.3184685 0.15124171 1.2043673 1.2045721 1.1836772 0.060124602 0.700644
4.92 -1.178319 0 -2.3727057 0.11593357 -2.371574 0.13045311 -2.3512636 0.16224492 1.2043673 1.2047839 1.1895001 0.052125913 0.70661326
