t x y z hx hy rx ry rz dx dy rzrel acc
3 -1.1536468 0.86179989 5.5109106e-17 -0.59847214 -0.80114362 -1.8718134 -0.099572451 1.3975271 -0.71816657 -0.96137234 0 1.3017082
3.05 -1.1885435 0.8129972 -0.022699525 -0.56458139 -0.8253774 -1.8660411 -0.17745569 1.3748275 -0.67749766 -0.99045288 -0.022699525 2.3999838
3.1 -1.221377 0.76278326 -0.04045085 -0.52971059 -0.84817845 -1.8570297 -0.25503089 1.3570762 -0.63565271 -1.0178141 -0.04045085 3.8216039
3.15 -1.2520903 0.71124523 -0.049384417 -0.4939203 -0.86950718 -1.8447947 -0.33216339 1.3481426 -0.59270436 -1.0434086 -0.049384417 4.5756734
3.2 -1.2806303 0.65847258 -0.047552826 -0.45727263 -0.88932657 -1.8293574 -0.4087193 1.3499742 -0.54872715 -1.0671919 -0.047552826 4.4199455
3.25 -1.3069472 0.60455692 -0.035355339 -0.41983119 -0.90760221 -1.8107446 -0.48456573 1.3621717 -0.50379743 -1.0891227 -0.035355339 3.3995542
3.3 -1.3309954 0.54959183 -0.01545085 -0.38166099 -0.92430238 -1.7889886 -0.55957103 1.3820762 -0.45799319 -1.1091629 -0.01545085 1.8915652
3.35 -1.3527332 0.49367272 0.0078217233 -0.34282828 -0.93939809 -1.7641272 -0.63360498 1.4053488 -0.41139394 -1.1272777 0.0078217233 1.475517
3.4 -1.3721229 0.43689667 0.029389263 -0.30340047 -0.95286314 -1.7362035 -0.70653909 1.4269163 -0.36408056 -1.1434358 0.029389263 2.9170672
3.45 -1.3891308 0.37936223 0.044550326 -0.26344599 -0.96467415 -1.705266 -0.77824675 1.4420774 -0.31613519 -1.157609 0.044550326 4.1658151
3.5 -1.4037273 0.32116927 0.05 -0.22303421 -0.97481062 -1.6713683 -0.84860347 1.4475271 -0.26764106 -1.1697727 0.05 4.6281198
3.55 -1.4158871 0.2624188 0.044550326 -0.18223528 -0.98325495 -1.6345695 -0.91748714 1.4420774 -0.21868233 -1.1799059 0.044550326 4.1658151
3.6 -1.4255892 0.20321281 0.029389263 -0.14112001 -0.9899925 -1.5949332 -0.98477818 1.4269163 -0.16934401 -1.187991 0.029389263 2.9170672
3.65 -1.4328166 0.14365407 0.0078217233 -0.099759773 -0.99501155 -1.5525284 -1.0503598 1.4053488 -0.11971173 -1.1940139 0.0078217233 1.475517
3.7 -1.4375569 0.083845971 -0.01545085 -0.058226369 -0.99830341 -1.5074285 -1.1141181 1.3820762 -0.069871643 -1.1979641 -0.01545085 1.8915652
3.75 -1.4398018 0.023892325 -0.035355339 -0.016591892 -0.99986235 -1.459712 -1.1759425 1.3621717 -0.019910271 -1.1998348 -0.035355339 3.3995542
3.8 -1.4395474 -0.036102796 -0.047552826 0.025071386 -0.99968566 -1.4094617 -1.2357256 1.3499742 0.030085663 -1.1996228 -0.047552826 4.4199455
3.85 -1.4367941 -0.096035247 -0.049384417 0.066691143 -0.99777367 -1.3567647 -1.2933636 1.3481426 0.080029372 -1.1973284 -0.049384417 4.5756734
3.9 -1.4315467 -0.15580099 -0.04045085 0.10819513 -0.99412968 -1.3017126 -1.3487566 1.3570762 0.12983416 -1.1929556 -0.04045085 3.8216039
3.95 -1.4238144 -0.21529629 -0.022699525 0.14951131 -0.98876001 -1.2444008 -1.4018083 1.3748275 0.17941358 -1.186512 -0.022699525 2.3999838
4 -1.4136106 -0.27441787 -7.3478808e-17 0.19056796 -0.981674 -1.184929 -1.4524267 1.3975271 0.22868156 -1.1780088 0 1.3017082
4.05 -1.4009529 -0.33306309 0.022699525 0.23129381 -0.97288395 -1.1234003 -1.5005238 1.4202266 0.27755257 -1.1674607 0.022699525 2.3999838
4.1 -1.3858633 -0.39113016 0.04045085 0.27161817 -0.9624051 -1.0599215 -1.5460163 1.4379779 0.3259418 -1.1548861 0.04045085 3.8216039
4.15 -1.3683681 -0.44851829 0.049384417 0.31147103 -0.95025565 -0.99460289 -1.5888251 1.4469115 0.37376524 -1.1403068 0.049384417 4.5756734
4.2 -1.3484976 -0.50512785 0.047552826 0.35078323 -0.93645669 -0.92755776 -1.6288759 1.4450799 0.42093987 -1.123748 0.047552826 4.4199455
4.25 -1.3262863 -0.56086058 0.035355339 0.38948651 -0.92103217 -0.85890251 -1.6660992 1.4328824 0.46738381 -1.1052386 0.035355339 3.3995542
4.3 -1.3017728 -0.61561973 0.01545085 0.4275137 -0.90400887 -0.78875633 -1.7004304 1.4129779 0.51301644 -1.0848106 0.01545085 1.8915652
4.35 -1.2749995 -0.66931025 -0.0078217233 0.46479879 -0.88541634 -0.71724098 -1.7318099 1.3897053 0.55775855 -1.0624996 -0.0078217233 1.475517
4.4 -1.2460131 -0.72183895 -0.029389263 0.50127705 -0.86528684 -0.6444806 -1.7601832 1.3681378 0.60153246 -1.0383442 -0.029389263 2.9170672
4.45 -1.2148637 -0.77311463 -0.044550326 0.53688516 -0.84365533 -0.57060149 -1.785501 1.3529767 0.64426219 -1.0123864 -0.044550326 4.1658151
4.5 -1.1816055 -0.8230483 -0.05 0.57156132 -0.82055936 -0.49573189 -1.8077195 1.3475271 0.68587358 -0.98467123 -0.05 4.6281198
4.55 -1.1462962 -0.87155327 -0.044550326 0.60524532 -0.796039 -0.42000178 -1.8268001 1.3529767 0.72629439 -0.95524681 -0.044550326 4.1658151
4.6 -1.108997 -0.91854534 -0.029389263 0.63787871 -0.77013684 -0.3435426 -1.8427095 1.3681378 0.76545445 -0.92416421 -0.029389263 2.9170672
4.65 -1.0697729 -0.96394295 -0.0078217233 0.66940483 -0.74289783 -0.26648708 -1.8554203 1.3897053 0.80328579 -0.89147739 -0.0078217233 1.475517
4.7 -1.0286917 -1.0076673 0.01545085 0.69976895 -0.71436924 -0.18896897 -1.8649104 1.4129779 0.83972274 -0.85724309 0.01545085 1.8915652
4.75 -0.98582489 -1.0496425 0.035355339 0.72891837 -0.68460062 -0.11112284 -1.8711632 1.4328824 0.87470205 -0.82152074 0.035355339 3.3995542
4.8 -0.94124681 -1.0897956 0.047552826 0.7568025 -0.65364362 -0.03308382 -1.8741679 1.4450799 0.90816299 -0.78437235 0.047552826 4.4199455
4.85 -0.89503487 -1.128057 0.049384417 0.78337291 -0.62155199 0.045012632 -1.8739194 1.4469115 0.9400475 -0.74586239 0.049384417 4.5756734
4.9 -0.84726926 -1.1643603 0.04045085 0.80858351 -0.58838143 0.12303095 -1.870418 1.4379779 0.97030021 -0.70605772 0.04045085 3.8216039
4.95 -0.79803292 -1.1986423 0.022699525 0.83239051 -0.55418953 0.2008357 -1.8636698 1.4202266 0.99886862 -0.66502743 0.022699525 2.3999838
5 -0.7474113 -1.2308438 2.6948419e-16 0.85475261 -0.51903563 0.27829183 -1.8536865 1.3975271 1.0257031 -0.62284275 2.220446e-16 1.3017082
5.05 -0.69549228 -1.2609086 -0.022699525 0.87563097 -0.48298075 0.35526488 -1.8404855 1.3748275 1.0507572 -0.5795769 -0.022699525 2.3999838
5.1 -0.64236599 -1.2887847 -0.04045085 0.89498936 -0.44608749 0.43162124 -1.8240897 1.3570762 1.0739872 -0.53530499 -0.04045085 3.8216039
